[2024-07-17T03:22:00.531+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-17T03:22:00.550+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_ticker.etl_usd_mxn scheduled__2024-07-16T05:10:00+00:00 [queued]>
[2024-07-17T03:22:00.556+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_ticker.etl_usd_mxn scheduled__2024-07-16T05:10:00+00:00 [queued]>
[2024-07-17T03:22:00.556+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-07-17T03:22:00.563+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): etl_usd_mxn> on 2024-07-16 05:10:00+00:00
[2024-07-17T03:22:00.567+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=36752) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-07-17T03:22:00.568+0000] {standard_task_runner.py:63} INFO - Started process 36753 to run task
[2024-07-17T03:22:00.567+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'etl_ticker', 'etl_usd_mxn', 'scheduled__2024-07-16T05:10:00+00:00', '--job-id', '1102', '--raw', '--subdir', 'DAGS_FOLDER/bid_ask_dag.py', '--cfg-path', '/tmp/tmp7kialzz0']
[2024-07-17T03:22:00.569+0000] {standard_task_runner.py:91} INFO - Job 1102: Subtask etl_usd_mxn
[2024-07-17T03:22:00.598+0000] {task_command.py:426} INFO - Running <TaskInstance: etl_ticker.etl_usd_mxn scheduled__2024-07-16T05:10:00+00:00 [running]> on host 6f712de23803
[2024-07-17T03:22:00.642+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_ticker' AIRFLOW_CTX_TASK_ID='etl_usd_mxn' AIRFLOW_CTX_EXECUTION_DATE='2024-07-16T05:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-16T05:10:00+00:00'
[2024-07-17T03:22:00.643+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-17T03:22:00.653+0000] {logging_mixin.py:188} WARNING -   0%|          | 0/600 [00:00<?, ?it/s]
[2024-07-17T03:22:01.796+0000] {logging_mixin.py:188} WARNING -   0%|          | 1/600 [00:01<11:24,  1.14s/it]
[2024-07-17T03:22:02.986+0000] {logging_mixin.py:188} WARNING -   0%|          | 2/600 [00:02<11:40,  1.17s/it]
[2024-07-17T03:22:04.141+0000] {logging_mixin.py:188} WARNING -   0%|          | 3/600 [00:03<11:34,  1.16s/it]
[2024-07-17T03:22:05.282+0000] {logging_mixin.py:188} WARNING -   1%|          | 4/600 [00:04<11:28,  1.15s/it]
[2024-07-17T03:22:06.474+0000] {logging_mixin.py:188} WARNING -   1%|          | 5/600 [00:05<11:35,  1.17s/it]
[2024-07-17T03:22:07.630+0000] {logging_mixin.py:188} WARNING -   1%|1         | 6/600 [00:06<11:31,  1.16s/it]
[2024-07-17T03:22:08.767+0000] {logging_mixin.py:188} WARNING -   1%|1         | 7/600 [00:08<11:25,  1.16s/it]
[2024-07-17T03:22:09.908+0000] {logging_mixin.py:188} WARNING -   1%|1         | 8/600 [00:09<11:21,  1.15s/it]
[2024-07-17T03:22:11.046+0000] {logging_mixin.py:188} WARNING -   2%|1         | 9/600 [00:10<11:17,  1.15s/it]
[2024-07-17T03:22:12.235+0000] {logging_mixin.py:188} WARNING -   2%|1         | 10/600 [00:11<11:24,  1.16s/it]
[2024-07-17T03:22:13.430+0000] {logging_mixin.py:188} WARNING -   2%|1         | 11/600 [00:12<11:29,  1.17s/it]
[2024-07-17T03:22:14.619+0000] {logging_mixin.py:188} WARNING -   2%|2         | 12/600 [00:13<11:31,  1.18s/it]
[2024-07-17T03:22:15.757+0000] {logging_mixin.py:188} WARNING -   2%|2         | 13/600 [00:15<11:23,  1.16s/it]
[2024-07-17T03:22:16.981+0000] {logging_mixin.py:188} WARNING -   2%|2         | 14/600 [00:16<11:32,  1.18s/it]
[2024-07-17T03:22:18.127+0000] {logging_mixin.py:188} WARNING -   2%|2         | 15/600 [00:17<11:25,  1.17s/it]
[2024-07-17T03:22:19.583+0000] {logging_mixin.py:188} WARNING -   3%|2         | 16/600 [00:18<12:14,  1.26s/it]
[2024-07-17T03:22:20.723+0000] {logging_mixin.py:188} WARNING -   3%|2         | 17/600 [00:20<11:52,  1.22s/it]
[2024-07-17T03:22:21.900+0000] {logging_mixin.py:188} WARNING -   3%|3         | 18/600 [00:21<11:43,  1.21s/it]
[2024-07-17T03:22:23.037+0000] {logging_mixin.py:188} WARNING -   3%|3         | 19/600 [00:22<11:29,  1.19s/it]
[2024-07-17T03:22:24.190+0000] {logging_mixin.py:188} WARNING -   3%|3         | 20/600 [00:23<11:22,  1.18s/it]
[2024-07-17T03:22:25.345+0000] {logging_mixin.py:188} WARNING -   4%|3         | 21/600 [00:24<11:17,  1.17s/it]
[2024-07-17T03:22:26.486+0000] {logging_mixin.py:188} WARNING -   4%|3         | 22/600 [00:25<11:11,  1.16s/it]
[2024-07-17T03:22:27.765+0000] {logging_mixin.py:188} WARNING -   4%|3         | 23/600 [00:27<11:30,  1.20s/it]
[2024-07-17T03:22:28.906+0000] {logging_mixin.py:188} WARNING -   4%|4         | 24/600 [00:28<11:19,  1.18s/it]
[2024-07-17T03:22:30.063+0000] {logging_mixin.py:188} WARNING -   4%|4         | 25/600 [00:29<11:14,  1.17s/it]
[2024-07-17T03:22:31.229+0000] {logging_mixin.py:188} WARNING -   4%|4         | 26/600 [00:30<11:12,  1.17s/it]
[2024-07-17T03:22:32.451+0000] {logging_mixin.py:188} WARNING -   4%|4         | 27/600 [00:31<11:19,  1.19s/it]
[2024-07-17T03:22:33.595+0000] {logging_mixin.py:188} WARNING -   5%|4         | 28/600 [00:32<11:11,  1.17s/it]
[2024-07-17T03:22:34.734+0000] {logging_mixin.py:188} WARNING -   5%|4         | 29/600 [00:34<11:04,  1.16s/it]
[2024-07-17T03:22:35.935+0000] {logging_mixin.py:188} WARNING -   5%|5         | 30/600 [00:35<11:09,  1.17s/it]
[2024-07-17T03:22:37.075+0000] {logging_mixin.py:188} WARNING -   5%|5         | 31/600 [00:36<11:02,  1.16s/it]
[2024-07-17T03:22:38.219+0000] {logging_mixin.py:188} WARNING -   5%|5         | 32/600 [00:37<10:57,  1.16s/it]
[2024-07-17T03:22:39.360+0000] {logging_mixin.py:188} WARNING -   6%|5         | 33/600 [00:38<10:53,  1.15s/it]
[2024-07-17T03:22:40.562+0000] {logging_mixin.py:188} WARNING -   6%|5         | 34/600 [00:39<11:00,  1.17s/it]
[2024-07-17T03:22:41.697+0000] {logging_mixin.py:188} WARNING -   6%|5         | 35/600 [00:41<10:54,  1.16s/it]
[2024-07-17T03:22:42.845+0000] {logging_mixin.py:188} WARNING -   6%|6         | 36/600 [00:42<10:51,  1.15s/it]
[2024-07-17T03:22:44.003+0000] {logging_mixin.py:188} WARNING -   6%|6         | 37/600 [00:43<10:50,  1.16s/it]
[2024-07-17T03:22:45.183+0000] {logging_mixin.py:188} WARNING -   6%|6         | 38/600 [00:44<10:53,  1.16s/it]
[2024-07-17T03:22:46.350+0000] {logging_mixin.py:188} WARNING -   6%|6         | 39/600 [00:45<10:53,  1.16s/it]
[2024-07-17T03:22:47.557+0000] {logging_mixin.py:188} WARNING -   7%|6         | 40/600 [00:46<10:59,  1.18s/it]
[2024-07-17T03:22:48.711+0000] {logging_mixin.py:188} WARNING -   7%|6         | 41/600 [00:48<10:53,  1.17s/it]
[2024-07-17T03:22:49.877+0000] {logging_mixin.py:188} WARNING -   7%|7         | 42/600 [00:49<10:52,  1.17s/it]
[2024-07-17T03:22:51.028+0000] {logging_mixin.py:188} WARNING -   7%|7         | 43/600 [00:50<10:48,  1.16s/it]
[2024-07-17T03:22:52.180+0000] {logging_mixin.py:188} WARNING -   7%|7         | 44/600 [00:51<10:45,  1.16s/it]
[2024-07-17T03:22:53.326+0000] {logging_mixin.py:188} WARNING -   8%|7         | 45/600 [00:52<10:41,  1.16s/it]
[2024-07-17T03:22:54.474+0000] {logging_mixin.py:188} WARNING -   8%|7         | 46/600 [00:53<10:39,  1.15s/it]
[2024-07-17T03:22:55.619+0000] {logging_mixin.py:188} WARNING -   8%|7         | 47/600 [00:54<10:36,  1.15s/it]
[2024-07-17T03:22:56.779+0000] {logging_mixin.py:188} WARNING -   8%|8         | 48/600 [00:56<10:36,  1.15s/it]
[2024-07-17T03:22:57.934+0000] {logging_mixin.py:188} WARNING -   8%|8         | 49/600 [00:57<10:35,  1.15s/it]
[2024-07-17T03:22:59.107+0000] {logging_mixin.py:188} WARNING -   8%|8         | 50/600 [00:58<10:37,  1.16s/it]
[2024-07-17T03:23:00.244+0000] {logging_mixin.py:188} WARNING -   8%|8         | 51/600 [00:59<10:33,  1.15s/it]
[2024-07-17T03:23:01.415+0000] {logging_mixin.py:188} WARNING -   9%|8         | 52/600 [01:00<10:34,  1.16s/it]
[2024-07-17T03:23:02.622+0000] {logging_mixin.py:188} WARNING -   9%|8         | 53/600 [01:01<10:41,  1.17s/it]
[2024-07-17T03:23:03.756+0000] {logging_mixin.py:188} WARNING -   9%|9         | 54/600 [01:03<10:34,  1.16s/it]
[2024-07-17T03:23:04.901+0000] {logging_mixin.py:188} WARNING -   9%|9         | 55/600 [01:04<10:30,  1.16s/it]
[2024-07-17T03:23:06.099+0000] {logging_mixin.py:188} WARNING -   9%|9         | 56/600 [01:05<10:35,  1.17s/it]
[2024-07-17T03:23:07.247+0000] {logging_mixin.py:188} WARNING -  10%|9         | 57/600 [01:06<10:31,  1.16s/it]
